# kind base size perms eager path
file 0x00000075accb6000 0x00000000000fb000 rw- 1 memdump/75accb6000.bin
file 0x000000762082c000 0x0000000000020000 rw- 1 memdump/762082c000.bin
file 0x0000007636bf8000 0x00000000008eb000 r-- 1 memdump/7636bf8000.bin
file 0x00000076ace00000 0x0000000004000000 rw- 1 memdump/76ace00000.bin
file 0x00000076bf800000 0x000000000014a000 r-- 1 memdump/76bf800000.bin
file 0x00000076bfa00000 0x0000000000084000 r-x 1 memdump/76bfa00000.bin
file 0x00000076bfa84000 0x0000000000001000 rwx 1 memdump/76bfa84000.bin
file 0x00000076bfa85000 0x000000000023f000 r-x 1 memdump/76bfa85000.bin
file 0x00000076bfcc4000 0x0000000000002000 rwx 1 memdump/76bfcc4000.bin
file 0x00000076bfcc6000 0x000000000016e000 r-x 1 memdump/76bfcc6000.bin
file 0x00000076bfe34000 0x0000000000002000 rwx 1 memdump/76bfe34000.bin
file 0x00000076bfe36000 0x00000000001a9000 r-x 1 memdump/76bfe36000.bin
file 0x00000076c0000000 0x0000000000013000 r-- 1 memdump/76c0000000.bin
file 0x00000076c0212000 0x0000000000004000 rw- 1 memdump/76c0212000.bin
file 0x00000076c0216000 0x0000000000004000 rw- 1 memdump/76c0216000.bin
file 0x00000076e1949000 0x0000000000040000 rw- 1 memdump/76e1949000.bin
file 0x00000076e1989000 0x0000000000140000 rw- 1 memdump/76e1989000.bin
file 0x00000076f194b000 0x0000000000080000 rw- 1 memdump/76f194b000.bin
file 0x00000076f19cb000 0x0000000000080000 rw- 1 memdump/76f19cb000.bin
file 0x00000077f1956000 0x0000000000040000 rw- 1 memdump/77f1956000.bin
file 0x00000077f1996000 0x0000000000040000 rw- 1 memdump/77f1996000.bin
file 0x000000783194c000 0x0000000000040000 rw- 1 memdump/783194c000.bin
file 0x000000783198c000 0x0000000000140000 rw- 1 memdump/783198c000.bin
file 0x0000007954b1e000 0x0000000000049000 r-- 1 memdump/7954b1e000.bin
file 0x0000007954b67000 0x000000000005a000 r-x 1 memdump/7954b67000.bin
file 0x0000007954bc1000 0x0000000000007000 r-- 1 memdump/7954bc1000.bin
file 0x0000007954bc8000 0x0000000000001000 rw- 1 memdump/7954bc8000.bin
file 0x0000007954bc9000 0x0000000000003000 rw- 1 memdump/7954bc9000.bin
file 0x000000795e33c000 0x000000000003c000 r-- 1 memdump/795e33c000.bin
file 0x000000795e378000 0x000000000000d000 r-x 1 memdump/795e378000.bin
file 0x000000795e385000 0x0000000000001000 rwx 1 memdump/795e385000.bin
file 0x000000795e386000 0x0000000000001000 r-x 1 memdump/795e386000.bin
file 0x000000795e387000 0x0000000000001000 rwx 1 memdump/795e387000.bin
file 0x000000795e388000 0x0000000000003000 r-x 1 memdump/795e388000.bin
file 0x000000795e38b000 0x0000000000001000 rwx 1 memdump/795e38b000.bin
file 0x000000795e38c000 0x0000000000001000 r-x 1 memdump/795e38c000.bin
file 0x000000795e38d000 0x0000000000001000 rwx 1 memdump/795e38d000.bin
file 0x000000795e38e000 0x000000000000b000 r-x 1 memdump/795e38e000.bin
file 0x000000795e3e2000 0x0000000000001000 rwx 1 memdump/795e3e2000.bin
file 0x000000795e3e3000 0x0000000000002000 r-x 1 memdump/795e3e3000.bin
file 0x000000795e3e5000 0x0000000000001000 rwx 1 memdump/795e3e5000.bin
file 0x000000795e3e6000 0x0000000000002000 r-x 1 memdump/795e3e6000.bin
file 0x000000795e3e8000 0x0000000000001000 rwx 1 memdump/795e3e8000.bin
file 0x000000795e3e9000 0x000000000000d000 r-x 1 memdump/795e3e9000.bin
file 0x000000795e3f6000 0x0000000000001000 rwx 1 memdump/795e3f6000.bin
file 0x000000795e3f7000 0x0000000000002000 r-x 1 memdump/795e3f7000.bin
file 0x000000795e3f9000 0x0000000000004000 r-- 1 memdump/795e3f9000.bin
file 0x000000795e3fd000 0x0000000000002000 rw- 1 memdump/795e3fd000.bin
file 0x000000795e3ff000 0x0000000000005000 rw- 1 memdump/795e3ff000.bin
file 0x000000795e404000 0x0000000000001000 r-- 1 memdump/795e404000.bin
file 0x000000795e405000 0x0000000000555000 rw- 1 memdump/795e405000.bin
file 0x000000796f25e000 0x0000000000002000 r-- 1 memdump/796f25e000.bin
file 0x000000796f260000 0x0000000000001000 r-x 1 memdump/796f260000.bin
file 0x000000796f261000 0x0000000000001000 r-- 1 memdump/796f261000.bin
file 0x000000796f262000 0x0000000000001000 rw- 1 memdump/796f262000.bin
file 0x000000796f1d8000 0x0000000000004000 r-- 1 memdump/796f1d8000.bin
file 0x000000796f1dc000 0x0000000000004000 r-x 1 memdump/796f1dc000.bin
file 0x000000796f1e0000 0x0000000000001000 r-- 1 memdump/796f1e0000.bin
file 0x000000796f1e1000 0x0000000000001000 rw- 1 memdump/796f1e1000.bin
file 0x000000009b5fe000 0x0000000000012000 r-x 1 memdump/9b5fe000.bin
file 0x000000009b610000 0x0000000000001000 r-x 1 memdump/9b610000.bin
file 0x000000009b611000 0x0000000000001000 r-x 1 memdump/9b611000.bin
file 0x000000009b612000 0x000000000000c000 r-x 1 memdump/9b612000.bin
file 0x000000009b61e000 0x0000000001fe0000 r-x 1 memdump/9b61e000.bin
live 0x0000000012c00000 0x0000000018000000 rw- 0 -
